is_done	is_accepted	Title	Type	Детали	Рискованность	Важность
TRUE	TRUE	Исправить ссылки на удалённые analogs-документы	документация	Исправить ссылки из testing и Cursor-документации на отсутствующие материалы в docs/product/analogs: указать существующие канонические источники либо удалить ссылки без создания заглушек.	1	7
TRUE	TRUE	Обновить bug report template	документация	Заменить поля browser и smartphone на app version, OS, provider, source mode, Fast/Full/Best, CLI availability и диагностический вывод.	1	6
TRUE	TRUE	Уточнить условия авторизации и поддержки платформ	документация	Во всех языковых README заменить No sign-ins на отсутствие отдельной регистрации в AI Limits и явно указать необходимость provider authorization, уровень поддержки платформ и состояние signing.	2	9
TRUE	TRUE	Уточнить описание Cursor API2	документация	Во всех релевантных документах указать, что интеграция использует стабильный внутренний endpoint api2.cursor.sh, применяемый самим Cursor, но не имеющий публично документированного контракта; не маркировать метод как experimental.	2	9
TRUE	TRUE	Исправить release badges	документация	Обновить версии и download URLs в badges основного и всех локализованных README до актуального релиза.	2	8
FALSE	FALSE	Добавить автономный dependency audit	безопасность	Добавить самостоятельный регулярный CI-workflow для проверки известных уязвимостей Rust и npm dependencies с явно определённой политикой блокирующих результатов.	3	8
FALSE	FALSE	Настроить dependency updates	безопасность	Настроить Dependabot или Renovate для Cargo, npm и GitHub Actions с контролируемой частотой, лимитом одновременно открытых PR и группировкой совместимых обновлений.	3	7
TRUE	TRUE	Создать единый quality gate	деплои	Добавить локальный quality script и автономный PR workflow с cargo fmt, cargo clippy --workspace --all-targets -- -D warnings, cargo test --workspace --all-targets, проверкой frontend ES modules и Markdown-ссылок; сделать эту же job обязательной зависимостью release workflow и описать команду и ручной smoke-check в testing docs.	4	10
TRUE	TRUE	Вынести platform terminal actions из Tauri commands	рефакторинг	Перенести shell quoting, AppleScript escaping, формирование CLI-команды и открытие Terminal из src-tauri/src/commands.rs в отдельный platform module; сохранить команды, allowlist, тексты ошибок и добавить модульные тесты escaping.	5	8
FALSE	FALSE	Завершить декомпозицию frontend provider flow	рефакторинг	Оставить в providers.js только refresh orchestration, завершить выделение provider-rendering.js и provider-refresh-intervals.js, скрыть неиспользуемые getAppSettings и stripTimezoneSuffix, сохранить HTML и Tauri contract, добавить тесты interval normalization, formatters, rendering states, handlers и порядка карточек, обновить frontend architecture docs.	6	9
TRUE	TRUE	Перестроить core notifications по ответственностям	рефакторинг	Разделить trigger policy, message formatting, sent-key deduplication и delivery abstraction внутри src/notifications, изолировать TauriNotificationDelivery от core, сохранить пороги и тексты, добавить тесты порогов и дедупликации и обновить notification architecture docs.	6	9
